,vm_id,pm_name,site_id,cores,start_time,end_time
6240,b90ed6e8a7d0598bae3dfcf932a6ef7c,088e00aa25eef9b98652f24d96f98365,hangzhou-telecom,2,1590495246,4744095246
6331,7c3c9ee33ae3a90680f5febaf3c53d92,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,32,1593619200,1596297600
6332,a5c9397a6409fea1bd373b5934b3263e,ae9cc9a23fc3354fd747823111da22ab,hangzhou-telecom,32,1593619200,1596297600
6370,af3d48f1f7b2d09b57b4e6c68dd416ab,5dfd0fc2f02a70bb6f5797320e8e5f7f,hangzhou-telecom,32,1593705600,1596384000
6374,84ac0691bfc70b9d3087f08745a0d8c1,82d23a1846dc2727c1bda22d764e268f,hangzhou-telecom,32,1593705600,1596384000
6405,c55df6c41b4a13c43d1f9d24702ba5a4,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,32,1593705600,1596384000
6435,1cbafd6ae293aa5b78f38afae083f75f,ae9cc9a23fc3354fd747823111da22ab,hangzhou-telecom,32,1593705600,1596384000
6437,8ca2edaba0830cfe0c3c8264c269d1bf,baccb06e8155e6b784d319f6cc8b4b56,hangzhou-telecom,32,1593705600,1596384000
6440,36f332086315e3e496cb99a310340c58,5dfd0fc2f02a70bb6f5797320e8e5f7f,hangzhou-telecom,32,1593705600,1596384000
6442,02bd97b874bf70e4cf7758586f5e4344,40383aae33630919b25555f8117a22d8,hangzhou-telecom,32,1593705600,1596384000
6878,a1f61118aa945dfe89239f48288e6709,82d23a1846dc2727c1bda22d764e268f,hangzhou-telecom,2,1593332915,1595952000
6879,b8f355cb021130e369c0be6355f8b038,5fdab57846d931593f461795b8f49ae7,hangzhou-telecom,2,1593332915,1595952000
6880,f401e0ad665e721d9f38f781f6ce5c0b,5fdab57846d931593f461795b8f49ae7,hangzhou-telecom,2,1593332915,1595952000
6881,ca533e9536b9f1fc1504ef056db0c725,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6882,f1563951240f277bddbd4d0a15c1a6ed,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6883,4c793693519e811996caee3ea5a17744,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6884,fc38620d3802c5dc128d6afe0941e3f4,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6885,f5ff3c8504227db0031791ad99b1b5c6,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6886,91095494ba438a3390476a618f2f4b5b,89c255cb1187b23c624096e9b318315d,hangzhou-telecom,2,1593332915,1595952000
6887,038ea1affb8fd9ab57c8707e14f43be3,ae9cc9a23fc3354fd747823111da22ab,hangzhou-telecom,2,1593332915,1595952000
1864,d64c6cae17359f605db1d555cb0d8114,efab6f537cf4eef34a104fed9e0e1bd2,jinan-cmcc,2,1559184243,2974803442
2054,0a207850ca93609889afbf14648699e4,5cfd1046aefa3517ac7dbc9b9c785c78,jinan-cmcc,8,1563206400,4102329599
2293,d4df89ac9987257ed819d6902499affb,ae09d8374ac45d068cab41c07a596914,jinan-cmcc,8,1593792000,1596470400
2484,a906784de497ba50e735610231ca3e56,5cfd1046aefa3517ac7dbc9b9c785c78,jinan-cmcc,4,1568968376,4093545600
2597,35a75a81dd1f9bc5edfc5bfc86bc58e5,ae09d8374ac45d068cab41c07a596914,jinan-cmcc,2,1568968376,4093545600
2699,4bdc1e66d27446f139f23c5cc4fe31fa,23f586c6235e5f6987c2b3fc6dff8344,jinan-cmcc,64,1569324178,4722924178
2700,90dafec3a3bcd3c16737e503f31160c2,e428f43690d4d12f62f595457ef1412a,jinan-cmcc,64,1569324178,4722924178
2701,2cab4aab37479d90b2e88ae5139960dd,efcbe917a0d5f03bd9b8223201349852,jinan-cmcc,64,1569324178,4722924178
2702,f2c119333087882cc38ffb0cbf78d82f,243da90cd25dea07180f03d0cbaafa7a,jinan-cmcc,64,1569324178,4722924178
2703,bc45dc2f5aaa0ea04d146b774d861e78,98ef9d0dccf6aa41a1e177338101e294,jinan-cmcc,64,1569324178,4722924178
2704,49c89be6d700d67183f0a5f1e3761ab0,459dde127029195120aed016366f7bf0,jinan-cmcc,64,1569324178,4722924178
2705,5c72e8324b02f5f8d0e2b7184f405245,02016bb5e2a98e8b8f8a1870f4787ef5,jinan-cmcc,64,1569324178,4722924178
2706,6e7afb4f118c8dd8e02e500ba16c9655,66315092fea571f60d306dec41f468b9,jinan-cmcc,64,1569324178,4722924178
2707,ba5fb90e34a16d9ddd6ab078547bf5c8,ab51ec879b300b46b9bb58b5aeb7cbc5,jinan-cmcc,32,1569324178,4722924178
2708,40d70fca1ab66aa034de25bd9705bc99,535f35327d041a0427459f61c44c887c,jinan-cmcc,32,1569324178,4722924178
3123,ca99dd879edbb85b3027a05df54b0f7f,ae09d8374ac45d068cab41c07a596914,jinan-cmcc,1,1575968513,4729568513
3401,0ff9a2bbf7234658810a8b47043aed70,34121cd8b2dcd1bff5a475c5e84ea502,jinan-cmcc,32,1593792000,1596470400
3402,6b437f6898728647e36adad7cf32d476,fbe3a3a16455643c8cc0d57d9c79b2f3,jinan-cmcc,32,1593792000,1596470400
3403,a7230f5029441b792c3425275db980ba,e637f16319fff891a1d9c61b4138f9ef,jinan-cmcc,32,1593792000,1596470400
3404,1981d0dbf39aaf4adc5e554485f1073a,ab51ec879b300b46b9bb58b5aeb7cbc5,jinan-cmcc,32,1593792000,1596470400
3405,16b69f970d2a2e421f926db896b29c74,535f35327d041a0427459f61c44c887c,jinan-cmcc,32,1593792000,1596470400
3490,321a95fd5970c6a162489bf37cca0fa5,ae09d8374ac45d068cab41c07a596914,jinan-cmcc,8,1594915200,1597593600
3521,6952bf56df3985670e20f58785740c86,243da90cd25dea07180f03d0cbaafa7a,jinan-cmcc,32,1595001600,1597680000
3522,fd273d114ea4069722275b078cc8488a,98ef9d0dccf6aa41a1e177338101e294,jinan-cmcc,32,1595001600,1597680000
3816,353cd3ee8558ef47ae726dabe9546c8e,34121cd8b2dcd1bff5a475c5e84ea502,jinan-cmcc,4,1580961511,4734561511
3817,1bf1d71e738bd4771cf4b45d5566549c,e637f16319fff891a1d9c61b4138f9ef,jinan-cmcc,4,1580961511,4734561511
3917,23ceff02310247d9fcd497808d6f3e69,b8a70dc32f993c0ceb8f465a2e5e3651,jinan-cmcc,16,1581940448,4735540448
3986,02d5ce6db9e20ecf609800b296941711,f4436bd318f108cf4b58e76d09b79209,jinan-cmcc,16,1582224231,4735824231
4024,0685a44d025d9be27e578343c7eef012,b8a70dc32f993c0ceb8f465a2e5e3651,jinan-cmcc,16,1582465068,4736065068
4129,0c89238ebd809982059ea5c797bffdad,b8a70dc32f993c0ceb8f465a2e5e3651,jinan-cmcc,8,1549167969,2208331851
4501,b50e87fe586a70228d3a3dee3ecb725d,34121cd8b2dcd1bff5a475c5e84ea502,jinan-cmcc,2,1584519376,4738119376
4797,3efad0d3644f6318c05254d69ddbf2be,5786a5de5fac86ff04e335c9e2d3b378,jinan-cmcc,32,1594137600,1596816000
4798,3693f651392050fb4ccf51d3ed8221e1,5786a5de5fac86ff04e335c9e2d3b378,jinan-cmcc,32,1594137600,1596816000
4961,7686cb2d639fe908962279f789b61de9,aca2d6c54ed35cfe5d293f2141358970,jinan-cmcc,4,1587030401,4740630401
4994,426a48af2510598f27b3c66fd1681e65,e637f16319fff891a1d9c61b4138f9ef,jinan-cmcc,4,1587030401,4740630401
6013,9601f428b9f97056d6a81769497b06bc,b8a70dc32f993c0ceb8f465a2e5e3651,jinan-cmcc,4,1589783469,4743383469
6496,42831cf6d4886387baf1a9e3180a0810,810158f92bfa0a00c821fb5346a337c6,jinan-cmcc,32,1593792000,1596470400
6497,126de2a1562b324bd453ee19c6f18213,aca2d6c54ed35cfe5d293f2141358970,jinan-cmcc,32,1593792000,1596470400
6498,f672596e4199b61507f49f8c3bef3ca2,efab6f537cf4eef34a104fed9e0e1bd2,jinan-cmcc,32,1593792000,1596470400
6499,18a222e3c55b6d901a21a11fd204cd11,9503ee03410b50603e0ab86186e343b7,jinan-cmcc,32,1593792000,1596470400
6531,f97045b2104cdc93c9f726c5feb74647,efab6f537cf4eef34a104fed9e0e1bd2,jinan-cmcc,1,1591345942,4744945942
6542,f1c4df2478d1bfef2af342277e09ae1b,f4436bd318f108cf4b58e76d09b79209,jinan-cmcc,32,1593964800,1596643200
6543,049470595dcb2a49170d5f03dd23bb40,7780273a0432bc6ecdbfc0bb3b0cb5b6,jinan-cmcc,32,1593964800,1596643200
6665,254be4baa3a21758547b5e0f6d5de873,aca2d6c54ed35cfe5d293f2141358970,jinan-cmcc,8,1592463933,4746063933
6666,0949bf7bc0de9b923c6d8d7d5f29d183,efab6f537cf4eef34a104fed9e0e1bd2,jinan-cmcc,8,1592463933,4746063933
2282,a4767a081c5ca43118c17196ae94bb3c,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,2,1567243803,1598779803
2283,65ecd5847b022f49a70edad2b0da99eb,2bc22184a447f8dc7738d88bf88c08c9,jinan-telecom,2,1567319403,1598855403
2284,9c2605d4871321e5a6d2c5819d897c6f,203d316f2b8e9615c6cd85f06828a240,jinan-telecom,8,1567319403,1598855403
2285,fe67dc41699845c52c42075c56de1632,2bc22184a447f8dc7738d88bf88c08c9,jinan-telecom,8,1567319403,1598855403
2286,570eac5fcfda31a42c3acd748478211a,28f7e354f3a78399f754db5d271d8b55,jinan-telecom,8,1567319403,1598855403
2933,9ba5c61a7dde96c54c54489b991e171c,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,2,1571800757,2974803442
3150,fe0a25f9470fa4bb8bdfbd355e9d6784,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,1,1547626482,1847728426
3840,4b204a890418719902bb1d28c757ad1f,bcdca8c99f341ef9f3adf616ca5261ef,jinan-telecom,2,1581060602,1612596602
4100,8643990f6561abe0cf13a54f0afa5e8a,2bc22184a447f8dc7738d88bf88c08c9,jinan-telecom,4,1547626482,1847728426
4160,1878e7fece3dd43328e7c9e9ca290ae9,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,1,1583206202,1614742202
4387,27d0ed992e3c2d09bf225955d3b1781f,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,1,1585279494,4716781837
5152,724d08d4e02895b6969baa28e1fa7af8,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,2,1547626482,1847728426
5172,b1229d169dcd3cc3a2be803c66d88b69,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,4,1547626482,1847728426
5173,9e819365068f8258ccc95754ebe204de,2bc22184a447f8dc7738d88bf88c08c9,jinan-telecom,4,1547626482,1847728426
6155,cbb50547e9dcddbf58a0e69162d60eb2,b0e4a63eac9f96a5475aab7c4eb1d75c,jinan-telecom,16,1589988602,1621524602
6843,26e29e40142d307bf5141d4a4f593f09,bcdca8c99f341ef9f3adf616ca5261ef,jinan-telecom,2,1592904407,4746504407
7247,fa62a03c4453cf0cdf3f28c6359f3ec0,203d316f2b8e9615c6cd85f06828a240,jinan-telecom,2,1549167969,1595174400
